dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),Location
16,1960.0,1960000.0,500000.0,450800.0,2548000.0,254800.0,442000.0,10100000.0,Tasikmalaya
17,3290.0,2961000.0,560000.0,756700.0,4277000.0,427700.0,1037000.0,42300000.0,Tasikmalaya
18,840.0,1764000.0,500000.0,193200.0,1092000.0,109200.0,213000.0,3690000.0,Tasikmalaya
19,910.0,910000.0,500000.0,209300.0,1183000.0,118300.0,232000.0,12250000.0,Tasikmalaya
20,3500.0,3500000.0,500000.0,805000.0,4550000.0,455000.0,750000.0,16875000.0,Tasikmalaya
21,980.0,980000.0,500000.0,225400.0,1274000.0,127400.0,246000.0,4709000.0,Tasikmalaya
22,1400.0,1400000.0,500000.0,322000.0,1820000.0,182000.0,400000.0,6540000.0,Tasikmalaya
23,2240.0,2240000.0,500000.0,515200.0,2912000.0,291200.0,498000.0,10200000.0,Tasikmalaya
24,1120.0,1120000.0,500000.0,257600.0,1456000.0,145600.0,274000.0,5220000.0,Tasikmalaya
25,880.0,1584000.0,1350000.0,308000.0,1144000.0,114400.0,894000.0,10500000.0,Tasikmalaya
26,3080.0,3080000.0,500000.0,708400.0,4004000.0,400400.0,676000.0,14850000.0,Tasikmalaya
27,3220.0,3220000.0,500000.0,740600.0,4186000.0,418600.0,694000.0,16200000.0,Tasikmalaya
28,2660.0,2660000.0,500000.0,611800.0,3458000.0,345800.0,582000.0,13050000.0,Tasikmalaya
29,2520.0,2520000.0,500000.0,579600.0,3276000.0,327600.0,302000.0,12650000.0,Tasikmalaya
30,2800.0,2800000.0,500000.0,644000.0,3640000.0,364000.0,610000.0,12800000.0,Tasikmalaya
31,1680.0,1680000.0,500000.0,386400.0,2184000.0,218400.0,386000.0,8280000.0,Tasikmalaya
32,840.0,840000.0,500000.0,193200.0,1092000.0,109200.0,218000.0,3564000.0,Tasikmalaya
33,2800.0,2800000.0,500000.0,644000.0,3640000.0,364000.0,610000.0,13500000.0,Tasikmalaya
34,2380.0,2380000.0,500000.0,547400.0,3094000.0,309400.0,526000.0,10800000.0,Tasikmalaya
35,2100.0,2100000.0,500000.0,483000.0,2730000.0,273000.0,470000.0,9900000.0,Tasikmalaya
36,1820.0,1820000.0,500000.0,418600.0,2366000.0,236600.0,409000.0,9300000.0,Tasikmalaya
37,3220.0,3220000.0,500000.0,740600.0,4186000.0,418600.0,694000.0,16200000.0,Tasikmalaya
38,2800.0,2800000.0,500000.0,644000.0,3640000.0,364000.0,600000.0,13500000.0,Tasikmalaya
39,1540.0,2926000.0,442500.0,354200.0,2002000.0,200200.0,421000.0,19800000.0,Tasikmalaya
40,1260.0,2205000.0,3375000.0,289800.0,1638000.0,163800.0,316000.0,7660000.0,Tasikmalaya
41,980.0,1715000.0,337500.0,225400.0,1274000.0,127400.0,386000.0,13050000.0,Tasikmalaya
42,1470.0,2793000.0,3375000.0,338100.0,1911000.0,191100.0,337000.0,17550000.0,Tasikmalaya
43,1680.0,3024000.0,2250000.0,386400.0,2184000.0,218400.0,289999.99999999994,23400000.0,Tasikmalaya
44,1420.0,2698000.0,3375000.0,326600.0,1846000.0,184600.0,332000.0,17550000.0,Tasikmalaya
45,1200.0,2100000.0,2300000.0,276000.0,1560000.0,156000.0,430000.0,16200000.0,Tasikmalaya
46,2100.0,3675000.0,4500000.0,483000.0,2730000.0,273000.0,730000.0,14340000.0,Tasikmalaya
47,770.0,1386000.0,300000.0,177100.0,1001000.0,100100.0,267000.0,4120000.0,Tasikmalaya
48,1540.0,2926000.0,3600000.0,354200.0,2002000.0,200200.0,498000.0,19800000.0,Tasikmalaya
49,1120.0,1960000.0,337500.0,257600.0,1456000.0,145600.0,414000.0,14850000.0,Tasikmalaya
50,1470.0,2572500.0,3825000.0,338100.0,1911000.0,191100.0,439999.9999999995,17550000.0,Tasikmalaya
51,700.0,1260000.0,1125000.0,161000.0,910000.0,91000.0,330000.0,9300000.0,Tasikmalaya
52,950.0,1805000.0,2250000.0,218500.0,1235000.0,123500.0,380000.0,12650000.0,Tasikmalaya
53,1750.0,3062500.0,600000.0,402500.0,2275000.0,227500.0,627500.0,23550000.0,Tasikmalaya
54,2100.0,2100000.0,500000.0,483000.0,2730000.0,273000.0,470000.0,27900000.0,Tasikmalaya
55,2800.0,2800000.0,500000.0,644000.0,3640000.0,364000.0,605000.0,36450000.0,Tasikmalaya
56,6300.0,6300000.0,8400000.0,1449000.0,8190000.0,819000.0,1310000.0,84150000.0,Tasikmalaya
57,1190.0,2082500.0,322500.0,273700.0,1547000.0,154700.0,428000.0,7370000.0,Tasikmalaya
