scaled_log_Total rice purchase (IDR),scaled_log_Building rent cost (IDR),scaled_log_Labor cost (IDR),scaled_log_Supporting equipment cost (IDR),scaled_log_Value of rice sold (IDR),scaled_log_Total rice purchase (kg),scaled_Total precipitation (%),scaled_Precipitation quality (%),Regency,Regency_encoded
-0.4429330589490535,-1.0,-0.4837046002773203,0.6309300641808907,-0.5342919181383713,-0.6010599839756687,-0.2941176470588235,0.0,Karawang,2
0.9846854328039736,1.033092657997799,0.6872408988399078,0.3690703909382519,0.8130276998709186,0.8270338349729571,-0.5882352941176471,-0.425531914893617,Karawang,2
0.3419440045019695,0.0,0.1814221489290112,0.0,0.3000643328105409,0.3052270108197064,1.7647058823529411,0.2127659574468085,Karawang,2
-0.7578157731078614,-1.0,-0.8019936531264749,0.3690703909382519,-0.8343562450965784,-0.9062284613755048,0.5882352941176471,1.2765957446808511,Karawang,2
-1.299115321536021,-1.53513609059004,-1.34611219528763,0.3690703909382519,-1.3093600039609188,-1.4278095563871502,0.0,0.425531914893617,Karawang,2
0.0,0.0,0.439297068006256,0.3690703909382519,0.0,0.0,0.5882352941176471,0.425531914893617,Karawang,2
-0.8853545452647591,-1.0,-0.8019936531264749,0.165956282560088,-1.3243110106427636,-1.4278095563871502,-0.5882352941176471,-0.425531914893617,Karawang,2
0.1436586657301377,0.0,0.0,0.2388143249655565,0.0,0.0,0.5882352941176471,0.425531914893617,Karawang,2
-1.073539904241968,-0.6880121299907307,-0.8019936531264749,0.0,-1.1114119889788077,-1.2113551431202978,0.5882352941176471,0.425531914893617,Karawang,2
0.0581842882111866,0.0,0.0,-1.0959024804452533,0.0,0.0,0.5882352941176471,1.2765957446808511,Karawang,2
-0.4719450780504295,0.0,0.1937845717935488,-2.0958976258689885,-0.7160602641790317,-0.6897113659393063,-0.5882352941176471,-0.425531914893617,Subang,3
-0.5845571315235785,0.0,-0.1751671468168504,-0.630929609061748,-0.6137079351126243,-0.52175664456816,1.7647058823529411,1.0638297872340423,Subang,3
-0.6090034132625927,0.0,-0.257874892910662,0.2388143249655565,-0.5688427024606609,-0.52175664456816,2.3529411764705883,1.702127659574468,Subang,3
