scaled_log_Land lease value (IDR),scaled_log_Labor cost (IDR),scaled_log_Seed purchase value (IDR),scaled_log_Fertilizer purchase value (IDR),scaled_log_Pesticide purchase value (IDR),scaled_log_Equipment rent value (IDR),scaled_log_Production value (IDR),scaled_log_Land area (m2),Regency,Regency_encoded
-0.3456386614452957,-0.4806241625007343,-0.3692013684262558,-0.2225108911886801,-0.3726460013646456,0.462142224737912,-0.1822543557056605,-0.3821315988192768,Indramayu,1
-0.0017386679835478,-0.7327726864440673,-0.9696820381251344,-1.3638273028906407,-1.28439965277264,0.418150289730383,-1.620058652082087,-1.3552075180304493,Indramayu,1
0.8965058309814604,0.9721996230325928,0.948192828607227,0.7651851169464731,1.110162263911875,0.9909721826834536,1.1176766148535726,0.9353522333685158,Indramayu,1
-0.4122473378610943,0.600337485498027,-0.0126794610336719,-0.032670449211128,-0.039122544727914,0.5338747874190232,0.1262291109029003,-0.0256877024102384,Indramayu,1
0.4508501308106616,0.7546742095400284,0.5175157650441414,0.4975245901377376,0.4568714715484157,1.15979961067429,0.5079858809352401,0.5045594442347225,Indramayu,1
0.5827812374706088,0.7546742095400284,0.6307986315737443,0.6108073628611034,0.5628468673480858,0.912348827627592,0.6156113045927992,0.6178684011807232,Indramayu,1
-0.0762639545835231,0.010950158005602,-0.0518078917798947,-0.2348149531528261,-0.0757269040414663,0.9909721826834536,0.0295920321665117,-0.0648133920606915,Indramayu,1
1.2088334096850932,0.9721996230325928,1.3788700272432357,1.3588779090477825,1.2626630659801854,0.9909721826834536,1.0151597813096052,1.3661760951248592,Indramayu,1
0.7582767571411967,0.6981500156108136,1.1657621376221872,1.145770289836986,1.0633019185559094,0.7380243548766583,0.7777403769410098,1.1529929828065073,Indramayu,1
-0.7222504579920542,-0.3609115324599208,-0.4824838747627679,-0.5024753461356359,-0.2282271025004521,-0.2382506126667395,-0.5979466302820364,-0.4953577678744467,Indramayu,1
1.2132805307480663,0.8743870809979502,0.8398608345693277,0.8198693618378416,1.1385218380530866,0.3716669525809118,0.5831331497401396,0.8269873518047582,Indramayu,1
-0.2640526652667566,-0.3609115324599208,-0.9131585070283044,-1.0961674117538465,-0.8815124624144574,0.418150289730383,-0.5284958079427458,-0.925592045570671,Indramayu,1
0.8107051808252767,1.344061805274125,0.9356401636844082,0.9156485867906696,1.3340983502763135,0.4762975130259174,1.0927992020134891,0.9227956548136972,Indramayu,1
0.9496994649818656,0.2284754373773583,0.948192828607227,0.9282012376440104,0.8597671569844455,0.7781945942841757,0.6076405521351574,0.9353522333685158,Indramayu,1
0.8264276493718863,1.3870034170667214,0.9356401636844082,0.9156485867906696,0.8480242161649892,0.7634899635820155,0.6531829537683044,0.9227956548136972,Indramayu,1
1.025491762608555,0.3828121167124172,1.0614757401611277,1.0414840183332077,0.96574262730399,0.912348827627592,0.809586791701885,1.0486715473375603,Indramayu,1
1.1500305743749557,0.7546742095400284,1.1572550830591617,1.1372632457245568,1.0553436205415816,0.2517269242288995,0.9331701298461502,1.1444830211398032,Indramayu,1
0.7631776948971094,0.2284754373773583,0.7265779423115593,0.7065865845625696,0.6524478073571774,0.7281189173456418,0.8860445449294116,0.7136724767923494,Indramayu,1
1.2132805307480663,0.8743870809979502,0.8398608345693277,0.8198693618378416,1.1385218380530866,0.3716669525809118,1.0014780623044324,0.8269873518047582,Indramayu,1
0.7246720337407335,0.8178628840882715,0.7265779423115593,0.7065865845625696,0.6524478073571774,0.6118257501155288,0.3935008391440407,0.7136724767923494,Indramayu,1
0.7246720337407335,0.7546742095400284,0.7265779423115593,0.7065865845625696,1.1385218380530866,0.2517269242288995,0.4117414383304972,0.7136724767923494,Indramayu,1
1.3490946917879625,1.246249254298088,0.7958894829333394,1.293413721742575,1.2014216323346716,1.7603006843017444,1.2428534105668088,1.300688264672957,Indramayu,1
0.8377029970001566,0.9721996230325928,0.948192828607227,0.9282012376440104,0.8597671569844455,1.2997612146817092,0.759227529594627,0.9353522333685158,Indramayu,1
1.2517861933809262,1.0548989513138136,1.1572550830591617,1.1372632457245568,1.0553436205415816,1.5619091448181714,0.9330396134215132,1.1444830211398032,Indramayu,1
0.5096529616913498,0.2284754373773583,0.5175157650441414,0.4975245901377376,0.8369698901240735,0.6467666193215765,0.2410250089541374,0.5045594442347225,Indramayu,1
0.4508501308106616,0.010950158005602,0.3788687665649503,0.3588776860045136,0.7072664219840742,0.33914839376286,0.4864960692515643,0.3658862071597067,Indramayu,1
0.4508501308106616,0.010950158005602,0.5175157650441414,0.4975245901377376,0.5775629829068292,0.6467666193215765,0.1109614745229251,0.5045594442347225,Indramayu,1
0.6386388875601604,0.3828121167124172,0.6307986315737443,0.6108073628611034,0.8132418699476455,0.418150289730383,0.183584677469324,0.6178684011807232,Indramayu,1
-0.1622970805151879,-0.1803999380494857,-0.3692013684262558,-0.4135618282125506,-0.3726460013646456,0.1538748070415959,-0.2733193521202558,-0.3821315988192768,Indramayu,1
0.4868697697798986,0.600337485498027,0.6307986315737443,0.6108073628611034,1.048920837718357,0.7781945942841757,0.3584034825625556,0.6178684011807232,Indramayu,1
