scaled_log_Value of milled grains (IDR),scaled_log_Labor cost (IDR),scaled_log_Supporting equipment cost (IDR),scaled_log_nilaiberashasilgiling,scaled_log_Total revenue of milling machine (IDR),scaled_log_Amount of milled rice (Kg),scaled_log_Number of machines (unit),Regency,Regency_encoded
0.382122918863013,-1.001256924711661,0.9536541099624108,0.3541028224501908,-0.0333804033229408,0.3102476472214379,0.0,Tasikmalaya,4
0.2130308333203789,0.0,0.1611722425697541,0.2322157813904663,-0.0333804033229408,0.2020854338106842,0.0,Tasikmalaya,4
0.0170240941166468,-1.001256924711661,-0.1778638604262697,-0.0199155313950675,-0.3224452283500906,-0.0627490745076116,-0.5849625007211564,Tasikmalaya,4
0.0,-1.001256924711661,-0.2073107127702366,0.0430068374305388,-0.3224452283500906,0.0,-0.5849625007211564,Tasikmalaya,4
-0.2890648272262312,-1.001256924711661,-0.7073106526579527,-0.2284281259477052,-0.3224452283500906,-0.270680850587765,-0.5849625007211564,Tasikmalaya,4
-0.3178370893535196,0.4655580469914651,-0.2073107127702366,-0.3028494919002664,-0.3054211353454939,-0.3448916785563136,0.0,Tasikmalaya,4
-0.325351389771745,0.2377712785752428,0.3221363920451323,-0.3069519125603304,-0.2890648283687545,-0.3448916785563136,0.0,Tasikmalaya,4
-0.4328744792032311,-0.2277867492208671,-1.2570777103006436,-0.2777832624169219,-0.976608641060556,-0.3586904804001338,-0.5849625007211564,Tasikmalaya,4
-0.4850715635107377,-0.5344419530085349,0.0,-0.4337080442359539,-0.4090375617742471,-0.4619829056099203,-0.5849625007211564,Tasikmalaya,4
-0.5198443948476837,-0.7378112583135242,-0.8388277574302458,-0.4578779963305275,-0.4090375617742471,-0.5307963181415352,-0.5849625007211564,Tasikmalaya,4
-0.6541636441879949,0.2621886910890213,-0.8388277574302458,-0.5992137986146776,-0.5781296166382527,-0.6270003707668484,-0.5849625007211564,Tasikmalaya,4
-0.5995206157924162,-0.3695341801891673,-1.3388268557485212,-0.5898858695952492,-0.5781296166382527,-0.6270003707668484,-0.5849625007211564,Tasikmalaya,4
-0.6838902135420504,-0.999999865073463,-1.5757915842245032,-0.6207071020665428,-0.5908320896679732,-0.6931370230604094,-0.5849625007211564,Tasikmalaya,4
-0.7151264842906903,-0.5344419530085349,-0.9148292260887636,-0.6684513041467003,-0.6220683530297861,-0.7011953754960872,-0.5849625007211564,Tasikmalaya,4
-0.6999599991311846,-1.001256924711661,-0.5961144934224123,-0.6736351628888188,-0.8075166717415706,-0.7011953754960872,-0.5849625007211564,Tasikmalaya,4
-0.848704998239817,-1.3695338766045138,-1.4997903560136423,-0.8071969381888853,-0.7314827121535705,-0.8827849279348182,-0.5849625007211564,Tasikmalaya,4
-0.8959667284155037,-0.999999865073463,-1.0961140039375978,-0.8687173993044199,-0.8199326195380137,-0.9090412647213918,-0.5849625007211564,Tasikmalaya,4
-0.9602525510737502,0.0,-0.8388277574302458,-0.7313736706814596,-0.8671943247092716,-0.7919952352505074,-0.5849625007211564,Tasikmalaya,4
-0.9567916817247092,-0.7378112583135242,-1.0961140039375978,-0.8488018690432079,-0.9005747046409903,-0.9090412647213918,-0.5849625007211564,Tasikmalaya,4
-1.0802252839533324,0.4617526822360209,0.0,-1.0772299779831052,-0.9602523469155686,-1.073968364820903,-0.5849625007211564,Tasikmalaya,4
-1.1241640272775828,-0.7006067756890473,-0.8388277574302458,-0.9405597092473807,-1.0280279438551256,-0.9672551324326516,-0.5849625007211564,Tasikmalaya,4
-1.1016162470614044,-1.001256924711661,-1.3388268557485212,-1.2138486740893082,-1.0802249733898075,-1.21899457671182,-0.5849625007211564,Tasikmalaya,4
-1.1562592706769623,0.4617526822360209,-1.20730999142434,-1.093893000986367,-1.0802249733898075,-1.1647072564296688,-0.5849625007211564,Tasikmalaya,4
-1.538382108218677,-0.903976065804321,-1.20730999142434,-1.5390999557620717,-1.462347142278922,-1.5631514447669792,-0.5849625007211564,Tasikmalaya,4
